Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,32700.0,32800.0,31300.0,31600.0,26839.677734375,944879
2019-01-03,31450.0,31450.0,30200.0,30800.0,26160.19140625,743231
2019-01-04,30400.0,30850.0,29750.0,30450.0,25862.9140625,1153869
2019-01-07,30800.0,32350.0,30750.0,32100.0,27264.35546875,1500454
2019-01-08,31500.0,32100.0,30900.0,30900.0,26245.123046875,1228454
2019-01-09,31350.0,32500.0,31350.0,32500.0,27604.095703125,1829977
2019-01-10,32350.0,32650.0,32050.0,32450.0,27561.625,2272279
2019-01-11,32550.0,33100.0,32350.0,33100.0,28113.708984375,1253321
2019-01-14,32900.0,33100.0,32650.0,33050.0,28071.240234375,1099766
2019-01-15,33050.0,33850.0,32750.0,33850.0,28750.72265625,1502321
2019-01-16,34050.0,34350.0,33550.0,34350.0,29175.40625,1388226
2019-01-17,34450.0,35000.0,34200.0,35000.0,29727.484375,2179326
2019-01-18,35050.0,35350.0,34650.0,35150.0,29854.888671875,1929736
2019-01-21,35400.0,35650.0,34950.0,35650.0,30279.568359375,2294825
2019-01-22,35300.0,35550.0,34850.0,35300.0,29982.2890625,2170052
2019-01-23,34800.0,35300.0,34600.0,35150.0,29854.888671875,1917182
2019-01-24,34900.0,35900.0,34900.0,35900.0,30491.9140625,1391887
2019-01-25,36500.0,37200.0,36100.0,37200.0,31596.076171875,1727856
2019-01-28,37050.0,37450.0,36750.0,37200.0,31596.076171875,998838
2019-01-29,36500.0,37100.0,36350.0,37100.0,31511.140625,1885222
2019-01-30,36500.0,37550.0,36500.0,37250.0,31638.54296875,1787763
2019-01-31,37450.0,37900.0,37050.0,37500.0,31850.875,2574883
2019-02-01,37000.0,37850.0,37000.0,37500.0,31850.875,1267459
2019-02-07,37500.0,37800.0,37150.0,37200.0,31596.076171875,859283
2019-02-08,36800.0,36850.0,35850.0,36050.0,30619.314453125,924230
2019-02-11,35500.0,36100.0,35400.0,36000.0,30576.84765625,1262820
2019-02-12,36000.0,37150.0,35750.0,37150.0,31553.607421875,1309115
2019-02-13,37600.0,37800.0,37250.0,37600.0,31935.814453125,939470
2019-02-14,37600.0,38000.0,37300.0,38000.0,32275.564453125,1140691
2019-02-15,37500.0,37850.0,36850.0,36850.0,31298.794921875,989865
2019-02-18,37200.0,37450.0,36750.0,36900.0,31341.255859375,1041468
2019-02-19,37200.0,37200.0,36600.0,36600.0,31086.4609375,784726
2019-02-20,37200.0,37800.0,37150.0,37800.0,32105.689453125,1823365
2019-02-21,37850.0,37900.0,37200.0,37900.0,32190.626953125,1101511
2019-02-22,37800.0,37950.0,37300.0,37950.0,32233.091796875,598749
2019-02-25,38000.0,38000.0,37600.0,37950.0,32233.091796875,638656
2019-02-26,37750.0,38000.0,37250.0,37650.0,31978.279296875,1167035
2019-02-27,37550.0,37800.0,37300.0,37400.0,31765.94140625,1185647
2019-02-28,36700.0,37050.0,35900.0,36000.0,30576.84765625,6438669
2019-03-04,36750.0,36900.0,36000.0,36250.0,30789.18359375,2086627
2019-03-05,36200.0,36600.0,35250.0,35700.0,30322.03515625,1038845
2019-03-06,35550.0,35650.0,34900.0,35600.0,30237.107421875,1406117
2019-03-07,35250.0,36250.0,35200.0,35900.0,30491.9140625,1018449
2019-03-08,35850.0,35900.0,35100.0,35150.0,29854.888671875,1134391
2019-03-11,35550.0,35600.0,34750.0,34750.0,29515.150390625,1162079
2019-03-12,35100.0,36000.0,35100.0,35500.0,30152.162109375,786558
2019-03-13,35350.0,35650.0,35000.0,35300.0,29982.2890625,492846
2019-03-14,35000.0,35450.0,34850.0,35000.0,29727.484375,1032080
2019-03-15,34800.0,35250.0,34800.0,34900.0,29642.552734375,4793498
2019-03-18,34300.0,35150.0,34300.0,34900.0,29642.552734375,946328
2019-03-19,34750.0,35200.0,34600.0,35200.0,29897.35546875,951256
2019-03-20,35000.0,35600.0,34650.0,35300.0,29982.2890625,1203655
2019-03-21,35600.0,37350.0,35400.0,37350.0,31723.47265625,2064463
2019-03-22,37800.0,38200.0,37250.0,37850.0,32148.154296875,1546981
2019-03-25,36000.0,36700.0,36000.0,36500.0,31001.521484375,1114426
2019-03-26,36600.0,36650.0,36150.0,36550.0,31043.98828125,1122801
2019-03-27,36350.0,37000.0,35850.0,36800.0,31256.33203125,1291432
2019-03-28,36100.0,36600.0,36050.0,36500.0,31302.640625,991436
2019-03-29,36150.0,36450.0,35900.0,36250.0,31088.240234375,1373520
2019-04-01,36450.0,36600.0,36250.0,36400.0,31216.880859375,1329707
2019-04-02,36750.0,37150.0,36600.0,37000.0,31731.435546875,1045646
2019-04-03,37100.0,37700.0,36950.0,37550.0,32203.126953125,957957
2019-04-04,37300.0,37800.0,37300.0,37800.0,32417.533203125,703782
2019-04-05,37900.0,38050.0,37650.0,37750.0,32374.64453125,417733
2019-04-08,37850.0,37900.0,37200.0,37700.0,32331.76953125,731078
2019-04-09,37500.0,37900.0,37200.0,37900.0,32503.294921875,613959
2019-04-10,37700.0,37900.0,37300.0,37400.0,32074.486328125,1110628
2019-04-11,37650.0,37650.0,37250.0,37500.0,32160.244140625,617457
2019-04-12,37400.0,37750.0,37200.0,37700.0,32331.76953125,580459
2019-04-15,37800.0,38100.0,37750.0,38000.0,32589.0546875,662616
2019-04-16,38100.0,38100.0,37600.0,37700.0,32331.76953125,460640
2019-04-17,37850.0,38100.0,37750.0,37950.0,32546.171875,512469
2019-04-18,37800.0,38000.0,36700.0,36950.0,31688.56640625,1210310
2019-04-19,37000.0,37050.0,36650.0,36650.0,31431.279296875,799378
2019-04-22,36850.0,36900.0,36350.0,36550.0,31345.51953125,528146
2019-04-23,36500.0,36700.0,35900.0,36100.0,30959.59765625,1440697
2019-04-24,36450.0,36700.0,35700.0,36200.0,31045.35546875,1127270
2019-04-25,36200.0,36300.0,35700.0,36000.0,30873.841796875,1062285
2019-04-26,35750.0,36450.0,35400.0,36450.0,31259.75390625,1304339
2019-04-29,36450.0,36950.0,36250.0,36900.0,31645.673828125,866894
2019-04-30,36950.0,37200.0,36600.0,37200.0,31902.96875,1217476
2019-05-02,36900.0,37350.0,36850.0,37200.0,31902.96875,1031686
2019-05-03,37200.0,37300.0,36900.0,37000.0,31731.435546875,593579
2019-05-07,37000.0,37000.0,36350.0,36500.0,31302.640625,1620670
2019-05-08,36150.0,36450.0,35950.0,35950.0,30830.951171875,1136250
2019-05-09,35700.0,35800.0,34700.0,34700.0,29758.94921875,1124788
2019-05-10,34650.0,35150.0,34400.0,35100.0,30101.994140625,1979112
2019-05-13,34950.0,35050.0,34450.0,34650.0,29716.07421875,999760
2019-05-14,33850.0,34800.0,33850.0,34400.0,29501.662109375,1180044
2019-05-15,34800.0,35100.0,34550.0,34550.0,29630.30859375,1226441
2019-05-16,34650.0,34700.0,33550.0,33550.0,28772.705078125,1222704
